dialogue,label,meta,scenario_type,scenario_relationship,scenario_context,participants
"야 뭐해
지금 밖에 나와 있어
아 그래 나도 지금 걷는 중이야 좀 시끄럽지
어 근데 바람 불어서 시원하다
그러게 주말에 뭐 할까 싶어서 전화했어
음 주말에 영화 볼래
오 좋지 무슨 영화 볼까
새로 나온 액션 영화 있더라고 그거 어때
완전 좋지 시간은 언제가 괜찮아
음 오후에 한 3시쯤 어때
좋아 그럼 3시에 보고 끝나고 저녁도 먹을까
그래 그러면 뭐 먹고 싶어
어... 음 그거는 나중에 정하자
알겠어 그럼 주말에 봐
응 그때 보자 연락할게",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '약속 잡기', 'tone': '친근함', 'topic': '주말 만남', 'emotion': '즐거움', 'call_environment': '실외', 'participants': ['고서하', '류지훈']}",친구 간 약속 잡기,친구,주말 영화 보기 계획,
"야 뭐해
어 나 지금 도서관인데 너는
어 나도 도서관이야
그 주말에 영화 보기로 한 거 말이야
어 맞아 어떤 영화 볼 건데
음 그거 있잖아 최근에 개봉한 거
아 그거 좋네
토요일에 보는 거 어때
어 괜찮아
시간은 저녁쯤 괜찮겠지
그래 저녁에 보자
그럼 영화 끝나고 밥도 같이 먹자
좋아 그럼 다 정해졌네
어 그럼 나중에 봐
응 조심히 가",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '약속 잡기', 'tone': '친근함', 'topic': '주말 만남', 'emotion': '즐거움', 'call_environment': '조용한 공공장소', 'participants': ['강하율', '허현서']}",친구 간 약속 잡기,친구,주말 영화 보기 계획,
"여보세요 어 엄마
어 너냐 지금 어디야
지금 버스 타고 가는데 좀 정신없어
그래도 전화해줘서 고마워 바쁜데 괜찮아
응 괜찮아 어제 약속 있는 거 보고 그냥 궁금했어 음 엄마 건강 어떠신지
아 요즘 별일 없고 괜찮아 아빠도 마찬가지로 잘 지내
그래 다행이다 근데 버스가 너무 시끄러운 거 같다
응 조금 시끄러워서 그래도 엄마 목소리 잘 들려
다행이다 하여튼 집에 가고 조심해서 들어가
응 알았어 엄마도 건강 잘 챙기고
너도 그래 끊을게
응 잘 가",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '부모님 건강 확인', 'tone': '다정함', 'topic': '건강 안부', 'emotion': '배려', 'call_environment': '이동 중', 'participants': ['강서윤', '차우진']}",가족 안부 전화,가족,부모님 건강 확인,
"어 지금 통화 괜찮아
응 괜찮아 뭐야
부모님 건강은 어떠셔
아 다행히 잘 지내셔 건강도 좋고
그럼 정말 다행이네 요즘 바쁘셨지
응 조금 바빠 그래도 괜찮아
혹시 더 필요한 거 없으셔
아니 다 잘 챙기셔 걱정 마
그래도 가끔 전화 드리는 게 좋아
응 맞아 자주 연락하려고 노력해
알았어 나중에 또 이야기하자
그래 조만간 또 보자",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '부모님 건강 확인', 'tone': '다정함', 'topic': '가족 안부', 'emotion': '다정함', 'call_environment': '조용한 공공장소', 'participants': ['주연우', '민성현']}",가족 안부 전화,가족,부모님 건강 확인,
"어 지금 걸어가고 있어
나도 걷는 중이야 뭐 먹을까
음 점심으로 파스타 어때
좋지 나는 크림파스타가 땡겨
나도 크림파스타 먹고 싶었어
아 그럼 파스타 집으로 가자
오케이 지하철역 쪽에 있는 데?
응 거기 괜찮을 것 같아
알았어 그럼 애들한테도 말해줄게
그래 좋아 곧 보자",0,"{'conversation_type': 'casual_normal', 'relationship': '동료', 'context': '점심 메뉴 결정', 'tone': '편안함', 'topic': '점심 메뉴', 'emotion': '즐거움', 'call_environment': '이동 중', 'participants': ['배현서', '임지유']}",동료와 점심 메뉴 결정,동료,오늘 점심 뭐 먹을지 상의,
"어 지금 밖에 있어
날씨 좋다 그치
점심 뭐 먹을까 하려고 전화했어
음 나는 뭐든 괜찮아
어제 먹은 거 뭐였지 기억나
어 아마도 파스타였던 것 같아
그럼 오늘은 한식 어때
좋지 나는 찬성
근처에 괜찮은 곳 있나
응 내가 알아본 데가 있어 같이 가볼래
좋아 그럼 어디서 만날까
회사 앞에서 만나자
알겠어 곧 갈게
오케이 그럼 이따 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '동료', 'context': '점심 메뉴 결정', 'tone': '편안함', 'topic': '오늘 점심 메뉴', 'emotion': '즐거움', 'call_environment': '실외', 'participants': ['구주호', '남하연']}",동료와 점심 메뉴 결정,동료,오늘 점심 뭐 먹을지 상의,
"안녕하세요 거기 치킨 배달 맞나요
네 맞습니다 무엇을 도와드릴까요
저기 저녁에 치킨 주문하려고요
어떤 메뉴로 하시겠어요
음 저는 양념치킨 하나하고요 사이드로 감자튀김 추가할게요
네 주소와 연락처 말씀해주시겠어요
아 지금 버스 타고 가는 중이라서 잠시만요
네 편하실 때 말씀해주세요
서울시 강남구 대치동 123번지 101호고 연락처는 010-1234-5678이에요
확인했습니다 약 40분 후에 도착할 예정입니다
네 감사합니다 조심히 와주세요
네 감사합니다 좋은 하루 되세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객', 'context': '배달 음식 주문', 'tone': '공손함', 'topic': '저녁 치킨 주문', 'emotion': '즐거움', 'call_environment': '이동 중', 'participants': ['윤승우', '안하영']}",배달 음식 주문,고객-업체,저녁 치킨 주문,
"안녕하세요 치킨 주문하려고 하는데요
네 어떤 메뉴로 하시겠어요
음 반반 치킨이랑 콜라 하나 추가할게요
주소 말씀해주시겠어요
서울시 강남구 대치동 123번지 101호입니다
연락처도 부탁드릴게요
010-1234-5678이에요
지금 밖에 계신가 봐요
네 바람이 좀 불긴 하네요 하하
10분 내로 도착할 것 같습니다 혹시 더 필요하신 건 없으신가요
아니요 이 정도면 충분해요 감사합니다
네 그럼 확인하고 보내드리겠습니다
네 고맙습니다",0,"{'conversation_type': 'casual_normal', 'relationship': '고객-업체', 'context': '배달 음식 주문', 'tone': '공손함', 'topic': '저녁 치킨 주문', 'emotion': '즐거움', 'call_environment': '실외', 'participants': ['백소율', '권예진']}",배달 음식 주문,고객-업체,저녁 치킨 주문,
"안녕하세요
이번 주 예약 시간을 변경하고 싶어서요
네 말씀하세요
금요일 오후 3시로 예약했는데 다른 시간대로 바꿀 수 있을까요
네 확인해볼게요 잠시만요
감사합니다
이번 주 금요일 오전 10시와 다음 주 월요일 오후 2시가 가능합니다
음 그럼 금요일 오전 10시로 해주세요
네 변경되었습니다
감사합니다 그럼 금요일에 뵙겠습니다
네 감사합니다 좋은 하루 보내세요",0,"{'conversation_type': 'casual_normal', 'relationship': '환자-병원', 'context': '진료 시간 조정', 'tone': '정중함', 'topic': '병원 예약 변경', 'emotion': '정중함', 'call_environment': '조용한 실내', 'participants': ['임예나', '권소윤']}",병원 예약 변경,환자-병원,진료 시간 조정,
"안녕하세요 지금 병원인데요
안녕하세요 말씀하세요
다름이 아니라 다음 주 진료 예약을 조금 변경하고 싶어서요
네 어떤 시간으로 변경 원하시나요
지금 밖이라 바람이 좀 불어요 음 잠시만요 아 네 다음 주 수요일 오후 가능할까요
네 가능합니다 몇 시로 원하세요
세 시쯤 가능할까요
네 변경해드렸습니다 그럼 다음 주 수요일 오후 세 시에 뵙겠습니다
감사합니다 좋은 하루 되세요
네 감사합니다",0,"{'conversation_type': 'casual_normal', 'relationship': '환자-병원', 'context': '진료 시간 조정', 'tone': '정중함', 'topic': '병원 예약 변경', 'emotion': '중립', 'call_environment': '실외', 'participants': ['류민성', '송나은']}",병원 예약 변경,환자-병원,진료 시간 조정,
"안녕하세요 헬스장 맞죠
네 맞습니다 어떻게 도와드릴까요
제가 회원권이 이번 달에 끝나서요 연장하려고 하는데요
그렇군요 혹시 이동 중이신가요 소리가 좀 들려서요
아 네 지금 버스 타고 가는 중이라서요
괜찮습니다 회원번호나 이름 좀 알려주실 수 있을까요
잠시만요 지금 핸드폰에서 확인할게요
네 천천히 하세요
찾았어요 회원번호가 12345예요
감사합니다 회원권 연장 조건을 알려드릴게요 3개월 6개월 그리고 1년 중 선택하실 수 있습니다
아 그럼 6개월로 할게요 또 할인 같은 것도 있나요
네 현재 6개월 연장 시 15프로 할인 적용됩니다
오 좋네요 그러면 그렇게 할게요 카드로 결제할게요
좋습니다 다음 번에 방문하실 때 준비해 주시면 처리해 드릴게요
네 감사합니다
네 안전하게 이동하세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객-업체', 'context': '회원권 연장 문의', 'tone': '친절함', 'topic': '헬스장 회원권 연장', 'emotion': '중립', 'call_environment': '이동 중', 'participants': ['홍지현', '하성현']}",헬스장 문의,고객-업체,회원권 연장 문의,
"안녕하세요 거기 헬스장이죠
네 안녕하세요 무엇을 도와드릴까요
제가 회원권을 연장하려고 하는데요
아 네 지금 걷는 중이신가요
네 지금 걸어가면서 전화해서요 혹시 회원권 연장 어떻게 하면 될까요
회원권 연장은 전화로도 가능합니다 기존에 등록된 정보로 진행해드릴까요
네 그럼 부탁드릴게요
알겠습니다 성함이랑 생년월일 뒷자리만 부탁드려도 될까요
뒤 4자리 말씀드리면 되나요 그럼요
네 괜찮습니다
음 생일은 0512이고요
아 네 잠시만요 확인해드리겠습니다
네
다 되었고 메일로 연장 확인서 보내드릴게요
감사합니다
천만에요 더 필요하신 건 없으세요
아니에요 이 정도면 됐어요 감사합니다
좋은 하루 되세요
네 수고하세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객↔업체', 'context': '회원권 연장', 'tone': '친절함', 'topic': '헬스장 회원권', 'emotion': '편안함', 'call_environment': '이동 중', 'participants': ['손수연', '박지헌']}",헬스장 문의,고객-업체,회원권 연장 문의,
