dialogue,label,meta,scenario_type,scenario_relationship,scenario_context,participants
"야 어디야 지금
어 나 지금 밖에 나와 있어
음 바람이 좀 불더라
그러게 오늘 날씨 좋아
저기 그 학원비 말인데
아 맞다 그거
그래 얼마씩 나눠서 내야 할지
음 내가 생각해봤는데 반반으로 하면 어떨까
그게 제일 깔끔하긴 하지
응 그래야 서로 편할 것 같아
그럼 우리 이번 주말에 만나서 정리할까
아 좋다 그러자
시간 맞추는 게 좋겠네
그럼 토요일 어때
괜찮아 토요일에 보자
오케이 그럼 그렇게 정하자
완전 좋아
다음에 봐
응 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '학원비 분담 논의', 'tone': '협조적', 'topic': '공동 수강 시 학원비 분배', 'emotion': '협력적', 'call_environment': '실외', 'participants': ['전도윤', '김성민']}",대학 동기와 학원비 분담,친구,공동 수강 시 학원비 분배 논의,
"야 뭐해
어 나 지금 밖에 나와 있어
아 바람 불지 않냐
어 그러게 시원하고 좋다
저기 말인데 이번 학원비 어떻게 할까
나도 그 얘기하려고 했어 학원비 반씩 내는 게 어때
좋지 매달 첫 주에 같이 입금할까
응 그게 편할 것 같아 날짜는 어떻게 할래
5일 어때
완전 좋아 그럼 이번 주 5일에 입금하자
오케이 음 그럼 다음주에 또 만나자
어 알았어 다음주에 보자
그래 나중에 연락할게",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '약속 잡기', 'tone': '협조적', 'topic': '공동 수강 시 학원비 분배 논의', 'emotion': '편안함', 'call_environment': '실외', 'participants': ['손주호', '구태현']}",대학 동기와 학원비 분담,친구,공동 수강 시 학원비 분배 논의,
"안녕하세요 관리비 관련해서 문의드리려고요
아 네 말씀하세요
이번에 관리비 청구서 봤는데요 음 항목이 좀 많아서요
어 혹시 어떤 부분이 궁금하세요
전기료랑 수도료는 이해가 되는데요 그 공용시설 유지비가 어떤 건지 잘 모르겠어서요
아 그거는 엘리베이터랑 복도 청소 비용 같은 거예요
음 그렇군요 아 그리고 납부 방법을 좀 여쭤보려고 했어요
지금은 계좌이체로 되고 있고요 다른 방법도 원하시면 조정 가능해요
네 알겠습니다 계좌이체로 계속 할게요 그럼 고맙습니다
네 언제든지 또 문의하세요
네 감사합니다 그럼 이만 끊을게요",0,"{'conversation_type': 'casual_normal', 'relationship': '세입자-집주인', 'context': '관리비 논의', 'tone': '공손함', 'topic': '관리비 항목 및 납부 방법 확인', 'emotion': '중립', 'call_environment': '시끄러운 실내', 'participants': ['손수빈', '성승민']}",집주인과 관리비 논의,세입자-집주인,관리비 항목 및 납부 방법 확인,
"안녕하세요 집주인님
어 그래 무슨 일이야
관리비 관련해서 문의 드리려고요
아 네 뭐가 궁금해
관리비 항목이 어떻게 되는지 자세히 알고 싶어서요
음 기본적으로 수도 전기 가스 인터넷 포함되어 있고
관리비는 매달 며칠까지 내면 되나요
매달 5일 전에 계좌로 보내주면 돼
그럼 계좌번호 좀 알려주시겠어요
음 바람이 불어 잘 안 들리는데 나중에 문자로 보내 줄게
아 네 알겠습니다 감사합니다
별말씀을 그럼 수고해
네 좋은 하루 되세요",0,"{'conversation_type': 'casual_normal', 'relationship': '세입자-집주인', 'context': '관리비 납부 방법 확인', 'tone': '공손함', 'topic': '관리비 항목 및 납부 방법', 'emotion': '일상적', 'call_environment': '실외', 'participants': ['박현서', '남지현']}",집주인과 관리비 논의,세입자-집주인,관리비 항목 및 납부 방법 확인,
"어 안녕 거기 밖에 나와 있어
응 지금 바람이 좀 불어 시원하다
다름 아니라 이번 달 전기세 어떻게 낼지 좀 얘기해보려고
아 그거 말이야 우리는 보통 온라인으로 내잖아
맞아 근데 이번엔 좀 다르게 해볼까 싶더라고
음 그럼 이번엔 직접 은행 가서 낼까
그래도 되는데 요즘 온라인이 더 간편하긴 하지 않나
하긴 그래 그럼 이번에도 온라인으로 하고 날짜만 정하자
좋아 그럼 내일이나 모레 중에 어떨까
음 모레는 내가 좀 바쁠 것 같아서 내일이 좋겠어
알겠어 그럼 내일 저녁에 같이 하자
응 좋아 그렇게 하자 밖에서 얘기하니까 머리가 맑아지는 것 같아
그러게 말이야
그럼 이따가 연락할게
응 알았어 조심히 들어가",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '전기세 납부 계획', 'tone': '협조적', 'topic': '전기세 납부 방법과 일정 조율', 'emotion': '협조적', 'call_environment': '실외', 'participants': ['차주원', '박세은']}",전기세 납부 계획 상담,가족,전기세 납부 방법과 일정 조율,
"야 뭐해 지금
어 나 지금 쇼핑몰인데 좀 시끄럽다
아 그래 그럼 잠깐만 밖으로 나갈까
괜찮아 그냥 바로 말해봐
전기세 말인데 이번 달 얼마 나왔어
음 확인해 보니까 꽤 많이 나왔더라
맞아 전기 많이 썼더니 그런가 봐
그러니까 이번엔 나눠서 내는 게 좋겠어
어떻게 할까 반반 나눠서 할까
그러면 좋지 날짜는 언제가 좋아
월말까지는 괜찮으니까 25일쯤 어때
어 좋아 그럼 그때 맞춰서 준비할게
알았어 그럼 이따 집에 가서 다시 연락할게
그래 그래 조심히 들어가라
응 너도 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '전기세 납부 계획 상담', 'tone': '협조적', 'topic': '전기세 납부 방법과 일정 조율', 'emotion': '중립적', 'call_environment': '시끄러운 실내', 'participants': ['성하율', '한하준']}",전기세 납부 계획 상담,가족,전기세 납부 방법과 일정 조율,
"저기 요즘 물가 많이 올랐잖아
맞아 식비도 그렇고 교통비도 많이 드네
생활비 예산 좀 조정해야 하지 않을까
그러게 이번 달에 식비가 너무 많이 나갔더라고
다음 달부터는 좀 더 계획적으로 써야겠어
일단 식비를 좀 줄이고 다른 데서도 아낄 수 있는지 보자
음 매달 고정비용도 다시 확인해볼까
좋아 세세하게 적어두면 도움이 될 거야
그럼 주말에 같이 앉아서 한번 체크해보자
그래 주말에 도서관에서 조용히 얘기하자
좋아 그럼 그렇게 하자",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '월별 생활비 예산 조정', 'tone': '진지함', 'topic': '물가 상승 대비 생활비 논의', 'emotion': '차분함', 'call_environment': '조용한 공공장소', 'participants': ['최채원', '백지호']}",물가 상승 대비 생활비 논의,가족,월별 생활비 예산 조정,
"어 나 지금 버스 타고 가는 중인데 잠깐 얘기할 수 있어
응 그럼 얘기해
요즘 물가가 너무 올라서 생활비 다시 조정해야 할 것 같아
맞아 맞아 나도 그 생각했어
이번 달에는 식비를 좀 줄일 수 있을까
그럴 수 있을 것 같아 근데 우리 외식 줄이는 게 좋겠어
응 그게 좋겠다 그리고 교통비도 절약할 방법 좀 찾아봐야겠어
지금 이동하면서 생각해봤는데 대중교통을 더 자주 이용하면 될 것 같아
좋은 생각이야 그럼 다음 달부터 그렇게 해보자
응 알았어 돌아가서 구체적으로 정리해보자
버스 내려서 다시 얘기하자 그럼
그래 나중에 보자",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '월별 생활비 조정', 'tone': '진지함', 'topic': '물가 상승 대비 생활비', 'emotion': '걱정', 'call_environment': '이동 중', 'participants': ['윤하늘', '고소율']}",물가 상승 대비 생활비 논의,가족,월별 생활비 예산 조정,
"야 잘 들어갔어
어 방금 도착했어
오늘 진짜 맛있었지
완전 배부르게 먹었어 하하
근데 지금 바람이 좀 불어서 추워
밖에 나와 있어
아 진짜 이제서야 치우려고 하는데 얼마나 나왔어
음 대략 4만 원 정도 나왔는데 인당 2만 원씩 하면 될 듯
오케이 그럼 내가 보내줄게 잠시만
너 계좌 뒷자리 몇 번이더라
4589야
좋아 바로 보낼게
어어 나왔다 확인했어 고마워
아무튼 오늘 너무 재밌었어 다음에 또 가자
그러게 나중에 봐
응 연락할게 들어가서 따뜻하게 쉬어",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '외식 후 비용 정산', 'tone': '편안함', 'topic': '외식 비용 나누기', 'emotion': '즐거움', 'call_environment': '실외', 'participants': ['하가은', '한성민']}",친구와 외식 비용 정산,친구,외식 후 비용 계산 및 나누기,
"야 어제 저녁 맛있었지
어 완전 좋았어 너도 재밌었지
그럼그럼 근데 그거 비용 어찌 나눌까
음 한 사람당 이만 오천원 정도 나왔더라
어 그러면 내가 은행 앱으로 보낼게 계좌번호 뭐야
그냥 전화번호로 보내줄래 내가 등록해놨거든
오케이 지금 걷는 중이라 잠깐 걸어가면서 해볼게
어 알았어 나도 지금 버스 타고 있거든 조심히 해
음 진짜 어제는 또 어디서 그런 맛집 찾아냈어 크크
하하 진짜 그냥 인터넷에서 본건데 대박이지
그러게 다음에는 내가 한 번 찾아볼게
좋아 그럼 다음에 또 만나자 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '외식 비용 정산', 'tone': '편안함', 'topic': '외식 후 비용 계산 및 나누기', 'emotion': '즐거움', 'call_environment': '이동 중', 'participants': ['백채원', '곽채원']}",친구와 외식 비용 정산,친구,외식 후 비용 계산 및 나누기,
